row_index,Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Count_P,Count_Cl,Count_O,Count_Si,Count_C,Count_F,Count_N,Count_S,Heteroatom_count,Topological_diameter_bonds,Longest_chain_atoms_est,MolWt,MolLogP,LogP,TPSA,TPSA_ratio,NumHDonors,NumHAcceptors,NumRotatableBonds,HeavyAtomCount,LabuteASA,Chi0,Chi1,Kappa1,Kappa2,FractionCSP3,RingCount,NumAromaticRings,NumAliphaticRings,MolCharge,MaxCharge,MinCharge,MeanCharge,FG_carbonyl,FG_ester,FG_amine_primary,FG_amine_secondary,FG_tertiary_amine,FG_sulfonyl,FG_thiol,FG_phosphate,FG_ether,FG_aromatic_ring,AromaticAtomCount,EState_sum,EState_mean,EState_max,EState_min,EState_std,Total_formal_charge,Num_positive_atoms,Num_negative_atoms,SASA_sum,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
4701,1.4916,475.81,31.0,3.6426e-05,CCC(C)N(CC)CC(OC(=O))C(C)O,True,0,0,3,0,11,0,1,0,0,8.0,9,217.309,1.0292,1.0292,49.77,0.229028710269708,1,4,8,15,92.21780692374566,11.844934982691242,7.061279270114502,14.390000000000002,7.651829468630145,0.9090909090909092,0,0,0,0,0.2929958931518427,-0.4604623793357986,-0.0721634725072381,1,1,0,0,0,0,0,0,1,0,0,37.0,2.466666666666667,10.27708482930209,-0.6311980347694637,3.171030725042549,0,0,0,92.21780692374566,3.3752e-08,2.8009e-08,1.5848e-08,-0.1849
4702,1.2669,471.73,31.0,4.9887e-05,CC(CC#N)N(C)C(=O)C(CO)NC(=O),True,0,0,3,0,9,0,3,0,0,9.0,10,213.237,-1.1461199999999994,-1.1461199999999994,93.43,0.4381509775508003,2,4,6,15,88.47834143056609,11.844934982691242,7.07811602252011,13.39,6.786432203894329,0.6666666666666666,0,0,0,0,0.2470505051082984,-0.3936790871159861,-0.069561161291581,2,0,0,1,1,0,0,0,0,0,0,46.33333333333333,3.088888888888889,11.615593348450492,-0.9364417989417996,4.179195695990579,0,0,0,88.47834143056609,1.3851e-08,1.1657e-08,6.6445e-09,0.17223
4703,1.4162,444.75,19.0,4.8074e-05,C=CC(CNCC(CC)N)OC(=O),True,0,0,2,0,9,0,2,0,0,9.0,10,186.255,0.0408999999999998,0.0408999999999998,64.35,0.3454940806958202,2,4,8,13,79.13400512098956,10.104448006685086,6.239912065068584,12.13,7.762336280022209,0.6666666666666666,0,0,0,0,0.2932193627378513,-0.4589885025563789,-0.0859919927452639,1,1,1,1,2,0,0,0,1,0,0,33.16666666666667,2.5512820512820515,10.004891502897456,-0.2624480347694635,2.780908393741993,0,0,0,79.13400512098956,3.1679e-08,2.215e-08,2.1175e-08,0.00069905
4704,1.426,485.76,31.0,3.9477e-05,C#CCC(C)(C)C(=O)NCC(CO)OC(=O),True,0,0,4,0,11,0,1,0,0,10.0,11,227.26,-0.3140000000000002,-0.3140000000000002,75.63,0.3327906362756315,2,4,7,16,95.16858292905336,12.604448006685086,7.473892299792809,14.460000000000004,6.854766502783651,0.6363636363636364,0,0,0,0,0.2930034162478236,-0.4602445597086643,-0.074019391081579,2,1,0,1,1,0,0,0,1,0,0,47.24999999999999,2.953125,11.647171201814055,-0.7193650793650799,3.882703441651263,0,0,0,95.16858292905336,2.2692e-08,1.3378e-08,1.1684e-08,0.15185
4705,1.2728,470.75,31.0,0.00013389,C=CCN(CCC#N)CC(CO)OC(=O),True,0,0,3,0,10,0,2,0,0,9.0,10,212.249,-0.0780199999999999,-0.0780199999999999,73.56,0.3465740710203582,1,5,9,15,89.55584145863352,11.518661569058182,7.2779168675293695,13.62,9.18580868162696,0.6,0,0,0,0,0.2929851871128544,-0.4607616978265847,-0.0728858366871572,1,1,0,0,0,0,0,0,1,0,0,42.833333333333336,2.855555555555556,10.103212789745529,-0.540608465608466,3.4329840300285364,0,0,0,89.55584145863352,4.5371e-08,4.3708e-08,2.3511e-08,0.41643
4706,1.4634,458.74,19.0,4.7806e-05,C=CC(C)(OC(=O))C(=O)N(C)CCN,True,0,0,3,0,9,0,2,0,0,8.0,9,200.23799999999997,-0.4787999999999989,-0.4787999999999989,72.63000000000001,0.362718365145477,1,4,6,14,83.50549870762866,11.19023444431199,6.513384421517451,12.64,5.387195531164762,0.5555555555555556,0,0,0,0,0.2939620049836626,-0.4471269383999799,-0.0693722434165347,2,1,1,0,1,0,0,0,1,0,0,40.41666666666667,2.8869047619047623,11.69111111111111,-1.2999305555555551,3.744716188126838,0,0,0,83.50549870762866,2.1104e-08,9.6918e-09,9.2822e-09,0.0082111
4707,1.3357,460.8,31.0,3.1297e-05,CCC(C)CN(C)CC(CN)OC(=O),True,0,0,2,0,10,0,2,0,0,9.0,10,202.298,0.4646000000000007,0.4646000000000007,55.56,0.2746443365727787,1,4,8,14,86.39852175416576,10.974691494688164,6.633758915185936,13.39,7.762420524059012,0.9,0,0,0,0,0.2929476601957601,-0.4618673628012005,-0.0774102035646477,1,1,1,0,1,0,0,0,1,0,0,33.16666666666667,2.3690476190476195,10.137734788359788,-0.1791147014361305,2.662754276505709,0,0,0,86.39852175416576,2.2308e-08,1.5224e-08,1.537e-08,0.01807
4708,1.4121,459.81,16.0,9.3538e-05,CC(C)N(CCCCNC(=O))CCN,True,0,0,1,0,10,0,3,0,0,10.0,11,201.314,0.1817000000000009,0.1817000000000009,58.36,0.2898953873054035,2,3,9,14,86.83483870826693,10.811554787871634,6.718744015013407,13.39,8.96515082928919,0.9,0,0,0,0,0.2066226947549864,-0.3586788802665109,-0.0855224761810523,1,0,1,1,2,0,0,0,0,0,0,31.833333333333336,2.273809523809524,9.97455114647124,0.553314961787184,2.4792420045889427,0,0,0,86.83483870826693,2.9853e-08,1.9761e-08,1.6003e-08,0.143
4709,1.3495,458.74,31.0,3.0243e-05,C=CCNC(=O)C(N)C(C)(C)OC(=O),True,0,0,3,0,9,0,2,0,0,9.0,10,200.238,-0.4325000000000001,-0.4325000000000001,81.42000000000002,0.4066161268090973,2,4,6,14,83.29552722103331,11.19023444431199,6.452724249737631,12.64,5.387195531164762,0.5555555555555556,0,0,0,0,0.2931831189680652,-0.4596488067975416,-0.0752063387210324,2,1,1,1,2,0,0,0,1,0,0,40.75,2.9107142857142856,11.343587962962964,-1.0069411375661377,3.7209107573996345,0,0,0,83.29552722103331,1.6257e-08,8.2599e-09,7.7649e-09,0.013769
4710,1.4485,460.8,19.0,2.5908e-05,CCC(CN(C)CC(C)(C)O)NC(=O),True,0,0,2,0,10,0,2,0,0,8.0,9,202.298,0.2137000000000001,0.2137000000000001,52.57,0.2598641607924942,2,3,7,14,86.28918176345022,11.19023444431199,6.386358674475311,13.39,5.9835764936506095,0.9,0,0,0,0,0.2068827053405445,-0.3891359043894402,-0.0815078837962815,1,0,0,1,1,0,0,0,0,0,0,34.58333333333333,2.470238095238095,10.261876377865962,-0.6862893282312927,3.162893796990279,0,0,0,86.28918176345022,1.6479e-08,1.1908e-08,1.2538e-08,0.14136
