Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Count_P,Count_Cl,Count_O,Count_Si,Count_C,Count_F,Count_N,Count_S,Heteroatom_count,Topological_diameter_bonds,Longest_chain_atoms_est,MolWt,MolLogP,LogP,TPSA,TPSA_ratio,NumHDonors,NumHAcceptors,NumRotatableBonds,HeavyAtomCount,LabuteASA,Chi0,Chi1,Kappa1,Kappa2,FractionCSP3,RingCount,NumAromaticRings,NumAliphaticRings,MolCharge,MaxCharge,MinCharge,MeanCharge,FG_carbonyl,FG_ester,FG_amine_primary,FG_amine_secondary,FG_tertiary_amine,FG_sulfonyl,FG_thiol,FG_phosphate,FG_ether,FG_aromatic_ring,AromaticAtomCount,EState_sum,EState_mean,EState_max,EState_min,EState_std,Total_formal_charge,Num_positive_atoms,Num_negative_atoms,SASA_sum
1.4851,476.75,31.0,0.00011944,CN(CC(N)=O)CC(OC(=O))C(C)(C)O,True,0,0,4,0,9,0,2,0,0,8.0,9,218.253,-1.2839999999999985,-1.2839999999999985,92.86,0.4254695239011606,2,5,7,15,88.9893354920089,12.060477932315068,6.769074175669553,13.860000000000001,5.670840567860766,0.7777777777777778,0,0,0,0,0.29300666531405684,-0.46016221857894113,-0.08251108826044597,2,1,1,0,1,0,0,0,1,0,0,44.750000000000014,2.9833333333333343,10.606460695389266,-1.1599045729402873,3.969571854441371,0,0,0,88.9893354920089
1.4703,404.68,26.0,4.069e-05,CC(CC(C)(C)OC(=O))O,True,0,0,3,0,7,0,0,0,0,6.0,7,146.18599999999998,0.7088999999999999,0.7088999999999999,46.53,0.31829313340538773,1,3,4,10,60.99820479595584,8.198670612749268,4.4771623912162095,9.430000000000001,3.562154412456972,0.8571428571428571,0,0,0,0,0.2931116456948035,-0.46177418359764916,-0.07306709134710407,1,1,0,0,0,0,0,0,1,0,0,28.583333333333336,2.8583333333333334,9.898120275888132,-0.5457175925925926,3.5737050693528554,0,0,0,60.99820479595584
1.3752,474.78,14.0,8.7058e-05,CC(N)C(C)NC(=O)CNCCNC(=O),True,0,0,2,0,9,0,4,0,0,11.0,12,216.285,-1.826099999999996,-1.826099999999996,96.25,0.44501467970501885,4,4,8,15,89.97130939092679,11.681798275874712,7.074586062669974,13.860000000000001,8.191675267956287,0.7777777777777778,0,0,0,0,0.23371864193995065,-0.3574018846956549,-0.09096516582622759,2,0,1,3,4,0,0,0,0,0,0,40.333333333333336,2.688888888888889,11.271489512471657,-0.09175642479213875,3.4419887551204917,0,0,0,89.97130939092679
1.333,448.59,22.0,2.5915e-05,O=COCC(F)(F)C(F)(F)CO,True,0,0,3,0,5,4,0,0,4,7.0,8,190.09199999999998,0.42230000000000006,0.42230000000000006,46.53,0.24477621362287738,1,3,5,12,64.93046217886757,9.82842712474619,5.371320343559643,11.150000000000002,3.7023968238408003,0.8,0,0,0,0,0.3452124318614447,-0.46122414204367196,-0.053759821707026374,1,1,0,0,0,0,0,0,1,0,0,55.99999999999999,4.666666666666666,12.195,-4.573402777777778,6.694112823918697,0,0,0,64.93046217886757
1.4582,480.76,31.0,4.0306e-05,CCS(C)(=O)=NC(=O)C(CN)OC(=O),True,0,0,4,0,7,0,2,1,1,8.0,9,222.266,-0.8689999999999993,-0.8689999999999993,98.82,0.44460241332457506,1,5,5,14,82.98383485228177,11.190234444311992,6.463855598660739,13.05,5.711649246416475,0.7142857142857143,0,0,0,0,0.29570879216960916,-0.45296361105186855,-0.0600024149197191,2,1,1,0,1,0,0,0,1,0,0,44.41666666666667,3.172619047619048,11.417709750566894,-2.5181774376417243,4.515076705023656,0,0,0,82.98383485228177
1.4799,474.78,13.0,9.8108e-05,CN(CCCNC(=O))C(=O)CNCCN,True,0,0,2,0,9,0,4,0,0,12.0,13,216.28499999999997,-1.8707999999999965,-1.8707999999999965,87.46000000000001,0.4043738585662437,3,4,9,15,90.18128087752211,11.518661569058182,7.218744015013407,13.860000000000001,9.416378045555534,0.7777777777777778,0,0,0,0,0.23576877319099518,-0.35861127575192414,-0.0886230439634058,2,0,1,2,3,0,0,0,0,0,0,39.66666666666667,2.644444444444445,11.414241780045352,0.03662320483749082,3.42005058110441,0,0,0,90.18128087752211
1.4677,442.7,31.0,4.8984e-05,CN(CC#N)C(=O)C(CNC(=O))N,True,0,0,2,0,7,0,4,0,0,9.0,10,184.19899999999998,-1.9583199999999978,-1.9583199999999978,99.22,0.5386565616534292,2,4,5,13,76.29411414658956,10.267584713501616,6.129427617536367,11.39,5.967660653459891,0.5714285714285714,0,0,0,0,0.24140785999735054,-0.3565802691380185,-0.07392125601119134,2,0,1,1,2,0,0,0,0,0,0,41.00000000000001,3.153846153846154,11.232685185185186,-0.7883796296296299,3.977739924703232,0,0,0,76.29411414658956
1.3488,475.72,19.0,4.1696e-05,C=CC(CO)NCC(C)(OC(=O))C(=O)O,True,0,0,5,0,9,0,1,0,0,8.0,9,217.22099999999998,-0.8607999999999998,-0.8607999999999998,95.86,0.4413017157641297,3,5,8,15,87.54410402841266,11.897341225498538,6.996547669111845,13.600000000000001,6.152765277979386,0.5555555555555556,0,0,0,0,0.348728551030583,-0.4782568330895914,-0.08653499858490704,2,2,0,1,1,0,0,0,1,0,0,48.25,3.216666666666667,10.788151455026455,-1.6406944444444442,4.211365592734047,0,0,0,87.54410402841266
1.3621,428.7,31.0,1.6292e-05,CC=CC(O)C(C=CC)OC(=O),True,0,0,3,0,9,0,0,0,0,7.0,8,170.20799999999997,1.0411,1.0411,46.53,0.2733714043993232,1,3,5,12,72.34888296038055,9.397341225498538,5.756748817474191,10.909999999999998,6.609666717354977,0.4444444444444444,0,0,0,0,0.2932799747468604,-0.45720748802009925,-0.0763069218863118,1,1,0,0,0,0,0,0,1,0,0,33.166666666666664,2.763888888888889,10.00748441043084,-0.7672222222222225,3.36301026589408,0,0,0,72.34888296038055
1.4854,476.71,31.0,6.2448e-05,COC(=O)CN(C)C(=O)C(CNC(=O))O,True,0,0,5,0,8,0,2,0,0,10.0,11,218.20900000000003,-2.2752999999999983,-2.2752999999999983,95.94000000000001,0.4396702244178746,2,5,6,15,86.99588696425141,11.844934982691242,7.023274467653717,13.369999999999997,6.769286478953965,0.625,0,0,0,0,0.3248469979764196,-0.4676928263941757,-0.07616891654705839,3,1,0,1,1,0,0,0,1,0,0,48.666666666666664,3.2444444444444445,11.312503779289493,-1.3566147014361307,4.477646572629775,0,0,0,86.99588696425141
